TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1093003,1651783,1953246,2639356,4927878
2,1104287,1617360,1900053,2516312,4559101
3,1109244,1584921,1861206,2406693,4220126
4,1106166,1548455,1805605,2333577,3908477
5,1090192,1500889,1749075,2262876,3668135
6,1089212,1465883,1696361,2177652,3464460
7,1068996,1432463,1650610,2059651,3275260
8,1042623,1407879,1608439,1990691,3096792
9,1008618,1374026,1573832,1916209,2928427
10,979655,1336202,1517900,1822777,2769572
11,968034,1300359,1486716,1789195,2710672
12,945268,1259164,1436919,1711184,2536778
13,920515,1214840,1385506,1634302,2369755
14,891785,1168390,1330905,1557397,2215045
15,858148,1120474,1275160,1480647,2069979
16,823161,1071703,1218378,1403577,1934347
17,784916,1021817,1161604,1327551,1806933
18,745541,971301,1104664,1254239,1688168
19,705612,921131,1047698,1183091,1577507
20,666542,871061,990692,1113925,1472834
21,628495,821944,934388,1047931,1373472
22,591605,773285,879713,984540,1279539
23,554791,725685,826789,924257,1190774
24,519228,680092,775510,866652,1107151
25,485157,636075,726761,810939,1028150
26,452405,594271,680806,758155,954255
27,421012,554759,637250,708383,885711
28,392236,517793,595828,661353,823686
29,365938,483850,556566,618212,765949
30,341783,452836,520349,578392,711343
31,320188,424263,487304,541885,662461
32,300819,398125,456842,508495,619652
33,282824,374849,429287,477949,581644
34,266876,354229,404975,450414,546814
35,253451,335813,383062,425697,515389
36,241799,319527,363419,403669,486838
37,232138,305140,345806,383974,460670
38,223863,292290,330047,366208,436612
39,216818,280623,315992,350046,414464
40,210585,270357,303705,335572,394736
41,205285,261290,292840,322560,377332
42,200672,253519,283075,310976,361801
43,197026,246860,274226,300372,347945
44,193995,240885,266434,290812,335454
45,191316,235799,259597,282438,324645
46,189007,231176,253412,274862,315302
47,187444,226960,247779,267891,307189
48,186014,223016,242697,261562,300086
49,184641,219424,238157,255924,294092
50,183520,216096,233994,251032,289285
51,182504,213077,230205,246652,285659
52,181409,210491,226883,242511,282755
53,180445,208033,223732,238935,280473
54,179515,205523,220752,235828,278668
55,178598,203020,217904,232917,277278
56,177468,200482,215227,230159,276154
57,176182,197975,212647,227685,275439
58,174743,195542,210207,225459,275074
59,173184,193146,207825,223302,275035
60,171621,190766,205479,221099,275173
61,169968,188374,203222,218963,275374
62,168157,185912,200932,216939,275753
63,166193,183420,198599,215089,276348
64,164164,180951,196187,213315,277255
65,162212,178452,193729,211506,278086
66,160356,176036,191242,209794,278702
67,158327,173679,188689,208064,279031
68,156248,171354,186141,206247,279041
69,154142,168885,183608,204360,278757
70,151910,166439,181151,202391,278121
71,149604,164030,178595,200454,277069
72,147303,161583,176028,198451,275752
73,145014,159210,173561,196372,274246
74,142782,156859,171049,194167,272521
75,140505,154518,168603,191846,270598
76,138154,152159,166173,189479,268683
77,135863,149788,163659,186963,266540
78,133717,147418,161069,184392,263918
79,131678,145052,158493,181862,260851
80,129692,142701,155865,179489,257322
81,127642,140372,153238,176976,253439
82,125581,138094,150657,174466,249306
83,123507,135852,148029,171884,244948
84,121425,133527,145465,169206,240424
85,119308,131178,142880,166513,235776
86,117172,128773,140313,163603,231076
87,115037,126389,137803,160726,226287
88,112878,123994,135308,157854,221592
89,110724,121625,132791,154892,216990
90,108597,119265,130234,151805,212476
91,106510,116906,127657,148617,207925
92,104396,114559,125080,145427,203348
93,102257,112222,122466,142149,198756
94,100061,109924,119815,138826,194146
95,97867,107682,117168,135531,189308
96,95714,105443,114492,132305,184138
97,93580,103200,111859,129137,178830
98,91404,101003,109263,125911,173531
99,89207,98797,106687,122636,168250
100,86994,96545,104112,119266,162996
