TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,107604,173719,219710,323093,896660
2,115340,183361,227554,321053,946395
3,122450,191265,231055,320788,998890
4,130001,197722,230255,307336,1054297
5,138020,203019,236378,302247,973380
6,147600,205876,243865,308321,998156
7,158643,204810,250442,315059,1053839
8,169496,211487,258469,318894,1112631
9,171061,215889,264326,322917,1127735
10,167104,214612,270626,326836,892304
11,105404,175351,234005,327654,833742
12,97907,165541,225200,319023,794746
13,89278,154324,213282,306467,745227
14,80107,141914,199351,286904,688188
15,69431,127729,182945,265488,628777
16,59803,113308,164328,242362,565340
17,51273,98940,147045,218821,497871
18,43577,89119,133591,199551,440162
19,38235,81172,122012,183120,391864
20,34759,74468,112131,169159,351666
21,31841,68547,103527,157508,322525
22,29321,63671,96308,147780,297595
23,27248,59932,90879,139542,273972
24,25631,56790,86149,132340,256516
25,24512,54189,82101,126091,243241
26,23795,52195,78385,120328,234251
27,23461,50753,75551,115067,227347
28,23506,50025,73638,110397,221115
29,24140,49788,72502,106472,214642
30,25234,50402,72007,103638,207647
31,26370,51971,72372,101851,202780
32,27855,53948,73484,101409,201723
33,29911,56489,75690,102460,203299
34,32599,59813,78941,106142,206641
35,36597,64511,83809,111328,211436
36,41091,70399,90748,118468,220237
37,46041,77962,98503,127045,233421
38,51736,83587,105084,134660,245771
39,56153,88324,111264,141681,255678
40,58488,92540,116878,147864,262824
41,60433,96501,121925,152882,266917
42,62136,99539,125916,156229,267866
43,63258,101084,127778,158174,267813
44,63552,101952,129102,159088,264986
45,62770,102013,129586,159205,260046
46,61329,101321,129487,158487,253769
47,59369,99997,128536,157193,246710
48,57448,97736,127043,155660,239417
49,55475,95286,125269,153874,232264
50,53493,92641,123124,151882,225793
51,51765,90022,120843,149712,219972
52,50078,87455,118698,147236,214079
53,48447,84926,116531,144768,208063
54,46672,82359,114225,142348,203080
55,44891,79940,112073,140023,198141
56,43153,77584,109957,137732,193271
57,41347,75168,107780,135636,188667
58,39516,72964,105565,133469,183920
59,37759,70867,103446,131365,179809
60,36206,68592,101411,129395,176323
61,34726,66496,99495,127442,173725
62,33432,64430,97522,125707,171873
63,32349,62597,95708,124002,170741
64,31484,61028,93775,122448,169622
65,30737,59563,91830,120946,168596
66,30048,58221,90376,119631,167508
67,29421,56920,89073,118409,166588
68,28666,55690,87874,117384,165365
69,27936,54217,86697,116266,164076
70,27170,52765,85662,115148,163060
71,26423,51248,84525,114109,161544
72,25597,49700,83220,113149,160433
73,24618,48258,82015,111842,159270
74,23662,46878,80895,110510,157894
75,22745,45549,79561,109212,156412
76,21865,44347,78089,107925,155142
77,21089,43329,76539,106791,154043
78,20374,42269,74994,105711,153196
79,19644,41212,73366,104626,151996
80,18931,40220,71695,103277,150751
81,18225,39236,69929,102059,149054
82,17509,38186,68270,100800,147132
83,16793,37071,66443,99684,145116
84,16077,35816,64485,98442,143110
85,15416,34542,62716,96985,140751
86,14831,33313,60698,95332,138264
87,14308,32090,58505,93270,136107
88,13859,30861,56237,90866,134260
89,13407,29748,54012,88571,132171
90,12999,28667,51713,86225,129750
91,12561,27674,49424,83828,127648
92,12119,26657,47238,81398,125496
93,11730,25689,45048,79074,123643
94,11319,24699,42877,76623,122005
95,10888,23692,40850,73979,120758
96,10475,22700,38897,71235,119658
97,10054,21702,36975,68276,118306
98,9615,20727,35149,65168,116443
99,9130,19779,33421,62022,114456
100,8636,18913,31664,58988,111362
