TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,138394,171776,211069,251654,384143
2,133492,168531,202180,243517,364277
3,128435,163148,194657,234448,350197
4,123598,157714,187650,225720,342125
5,119427,153247,182019,217002,334310
6,116663,148338,176250,207799,326740
7,113817,141944,172694,202659,319410
8,112496,135641,165032,192750,311593
9,108446,127605,147201,179547,276544
10,101628,117980,134136,156033,228417
11,85015,102065,116164,131946,176076
12,80977,96842,109484,123748,162604
13,77439,92250,103644,116550,151235
14,74444,88295,98735,110334,141246
15,71866,84952,94589,105112,132587
16,69867,82182,91088,100764,125227
17,68300,79925,88225,97258,118830
18,67025,78321,85931,94438,113478
19,66214,77241,84266,92405,109048
20,65852,76787,83513,91040,105934
21,65975,76891,83539,90770,104397
22,66608,77666,84435,91523,104914
23,67725,79260,86200,93331,106910
24,69577,81569,88892,96307,110341
25,72208,84785,92542,100349,115150
26,75660,88904,97264,105611,121192
27,80047,93931,102961,112030,129072
28,85154,99872,109649,119502,138350
29,90851,106623,117222,128116,149086
30,97112,114286,125670,137724,161176
31,103881,122656,134868,148275,174674
32,111215,131590,144857,159762,189622
33,119148,141117,155524,172176,205746
34,127530,151112,166524,185376,223289
35,136404,161518,177938,199186,241965
36,145342,172196,189716,213542,261526
37,154480,183078,201741,228070,282044
38,163906,193743,213815,242787,303000
39,172923,204291,225761,257807,324445
40,181721,214577,237490,272914,346312
41,190318,224715,248940,287690,368518
42,198910,234610,259993,302029,390855
43,207502,244272,270673,316023,413596
44,215560,253471,280929,329681,435801
45,223280,262086,290955,343276,458115
46,230476,270098,300362,355939,479879
47,237059,277584,309328,367910,500538
48,243294,284290,317519,379232,519975
49,249287,290437,325089,389627,538036
50,254585,295714,332234,399289,554491
51,259228,300418,338840,407933,569154
52,263235,304618,344742,415773,581861
53,266442,307997,350062,422509,592161
54,268852,310743,354816,428347,600856
55,270645,312790,358751,433131,607867
56,271896,314202,362150,436697,613137
57,272532,315176,364877,439684,617471
58,272670,315840,366940,441745,620478
59,272436,316145,368405,442567,622084
60,271676,315919,369101,442748,621765
61,270506,315360,369174,442305,619540
62,268894,314235,368719,441422,615378
63,266721,312396,367524,439929,609318
64,264132,310223,365711,437288,602735
65,261200,307450,362875,433936,595055
66,258002,304329,359413,430293,586317
67,254548,300800,355324,425923,577057
68,250849,296962,350830,420945,567761
69,246891,292875,345859,415362,557872
70,242653,288504,340122,409060,547300
71,238153,283761,333839,402121,536090
72,233445,278692,327308,394423,524289
73,228575,273355,320299,386247,511946
74,223643,267811,313007,377771,499112
75,218668,262118,305668,369067,485837
76,213602,256265,298128,360372,472168
77,208432,250157,290479,351424,458024
78,203293,243857,282813,342298,443720
79,198218,237522,275139,332925,429177
80,193202,231187,267505,323660,414790
81,188224,224906,259825,314355,400567
82,183223,218734,252151,305003,386508
83,178286,212628,244596,295626,372578
84,173326,206491,237251,286419,358810
85,168423,200477,230111,277335,345488
86,163610,194564,223120,268108,332572
87,158887,188753,216342,259067,319850
88,154254,183075,209696,250226,307360
89,149729,177484,203172,241618,295545
90,145331,171984,196720,233261,284163
91,141099,166544,190481,225158,273218
92,136884,161235,184269,217143,262705
93,132657,156023,178224,209194,252393
94,128519,150927,172248,201232,242104
95,124480,145941,166281,193280,232025
96,120538,141056,160365,185380,222024
97,116691,136325,154504,177600,212128
98,112936,131706,148649,169967,202363
99,109245,127165,142913,162447,192752
100,105629,122665,137295,155117,183386
