TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,167066,192089,204070,230139,326689
2,164260,186455,197282,221561,311980
3,159967,181320,191491,214700,298036
4,156787,175977,186723,208360,284818
5,152349,170737,181171,203031,272713
6,148741,165843,174528,197382,261291
7,146433,161228,168810,189579,251595
8,142323,156202,164813,181551,244769
9,137562,151277,160590,175481,234511
10,132291,146511,155872,170381,222089
11,117638,132003,140372,153961,192720
12,111506,124951,132949,145378,179342
13,105354,117899,125642,136917,166615
14,99237,111020,118413,128638,154507
15,93321,104345,111357,120621,143142
16,87669,97902,104562,112920,132566
17,82234,91806,98121,105510,122760
18,76970,86049,91998,98557,113656
19,72001,80663,86203,92073,105160
20,67360,75645,80773,86045,97415
21,63088,70928,75714,80446,90272
22,59249,66606,71024,75279,83791
23,55864,62628,66685,70476,77940
24,52795,59048,62784,66221,72805
25,50075,55881,59341,62464,68468
26,47738,53140,56362,59192,64745
27,45687,50802,53791,56422,61663
28,43937,48816,51643,54046,59150
29,42466,47204,49893,52093,57112
30,41287,45912,48462,50515,55596
31,40333,44942,47329,49262,54464
32,39673,44205,46468,48308,53665
33,39233,43740,45854,47663,53141
34,39014,43482,45505,47281,52876
35,38951,43432,45385,47133,52853
36,39026,43580,45448,47194,53044
37,39271,43866,45672,47450,53421
38,39676,44284,46077,47850,54006
39,40227,44813,46607,48415,54841
40,40904,45451,47243,49103,55801
41,41680,46221,47978,49890,56955
42,42492,47028,48783,50760,58226
43,43282,47931,49662,51727,59570
44,44124,48893,50594,52746,60920
45,44992,49880,51560,53815,62313
46,45860,50885,52553,54912,63712
47,46767,51878,53567,56027,65129
48,47686,52857,54573,57170,66418
49,48609,53802,55566,58327,67651
50,49482,54723,56528,59468,68801
51,50340,55598,57464,60595,69937
52,51123,56435,58339,61661,71095
53,51848,57216,59162,62676,72257
54,52518,57945,59911,63648,73445
55,53091,58604,60581,64580,74633
56,53605,59190,61211,65440,75791
57,54032,59716,61790,66244,76876
58,54445,60189,62293,67014,77773
59,54789,60610,62766,67688,78419
60,55081,60971,63204,68274,78989
61,55326,61292,63597,68879,79532
62,55551,61596,63943,69436,80119
63,55770,61829,64291,69928,80690
64,55954,62026,64575,70364,81239
65,56135,62207,64838,70755,81738
66,56321,62376,65061,71145,82197
67,56510,62549,65252,71468,82583
68,56715,62714,65417,71726,82938
69,56924,62879,65565,71909,83258
70,57127,63041,65729,72075,83514
71,57332,63204,65890,72231,83720
72,57555,63372,66065,72422,83803
73,57784,63549,66258,72587,83794
74,57971,63712,66487,72740,83744
75,58138,63883,66719,72873,83645
76,58261,64068,66953,72998,83543
77,58352,64260,67201,73166,83501
78,58345,64462,67439,73337,83580
79,58269,64665,67662,73538,83752
80,58161,64876,67880,73773,83928
81,58013,65066,68084,73956,84045
82,57869,65251,68288,74132,84059
83,57733,65419,68466,74317,84039
84,57634,65571,68646,74508,84002
85,57535,65700,68812,74705,83989
86,57443,65821,68977,74864,84015
87,57350,65921,69145,75014,84041
88,57257,66012,69303,75180,84076
89,57172,66085,69445,75365,84112
90,57079,66137,69591,75538,84146
91,56964,66201,69725,75677,84183
92,56804,66264,69837,75767,84283
93,56619,66320,69929,75840,84411
94,56473,66382,69982,75891,84510
95,56399,66432,70009,75913,84543
96,56382,66480,70011,75932,84512
97,56396,66528,69995,75909,84420
98,56438,66566,69986,75883,84287
99,56504,66604,69994,75845,84139
100,56557,66632,69999,75803,83993
