TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1329742,1718413,1861392,1939141,2574458
2,1306851,1656811,1778597,1858651,2408886
3,1284358,1599877,1702644,1779557,2271759
4,1262255,1538027,1623883,1707625,2142812
5,1240372,1481083,1548897,1640788,2021539
6,1218805,1429086,1476916,1572020,1909983
7,1196224,1367251,1417430,1507202,1826760
8,1154091,1312900,1364848,1434698,1744898
9,1128652,1251534,1307721,1377419,1633404
10,1086537,1203226,1254209,1322555,1517540
11,925903,1059621,1109469,1166098,1374002
12,875288,994999,1039489,1092681,1278067
13,824795,932774,972749,1022054,1188999
14,775238,874579,910812,956347,1103514
15,726001,819490,853784,895625,1024896
16,679783,768683,801330,839901,954911
17,637905,721819,753884,789165,891418
18,599502,679765,710800,743245,834363
19,564862,641045,671450,701635,782804
20,532587,605820,635550,663777,737236
21,503677,573944,603406,629709,696827
22,478599,545900,574707,599224,660910
23,456850,521384,549682,572819,629261
24,437867,501168,528312,550281,602590
25,422343,484856,511066,532102,582641
26,409896,472114,497720,517820,567158
27,400972,462835,488046,506764,555978
28,395241,456495,481267,499342,547516
29,391774,452663,477267,494957,542215
30,390377,451442,475988,493497,541128
31,391164,452855,477284,494930,542863
32,393664,456274,480726,498586,546907
33,398615,462051,486457,504808,553257
34,406139,469080,493795,512432,563196
35,416084,478108,502488,521348,575280
36,427213,488260,512325,531476,588335
37,438873,499202,522673,542496,603310
38,450962,510220,533384,554218,619228
39,463024,521888,544559,566947,635914
40,475328,534164,556192,579988,653416
41,487115,546622,567856,593941,671924
42,498812,558652,579490,608169,691156
43,510267,570397,591203,622321,710144
44,522041,581482,602712,636211,728990
45,533114,592205,613617,649512,746617
46,543586,602398,623960,662552,764869
47,553308,612054,633993,675066,783276
48,562244,621333,643319,686846,801371
49,570991,629925,651849,697940,819058
50,579944,637780,659491,707634,834434
51,587891,644613,666395,716375,847417
52,594663,650417,672460,724569,859047
53,600179,655111,677763,731840,870012
54,603391,659105,682031,738591,879842
55,605042,661723,685389,744780,888639
56,605367,663321,688208,749386,895431
57,604109,664212,690344,752658,900676
58,601882,664240,691496,754381,905023
59,598567,663320,691346,754486,907833
60,595648,661213,690486,754057,908945
61,592733,658077,688314,751724,907749
62,588327,653758,684947,747967,904036
63,582615,648576,680219,743213,899035
64,575953,642204,674345,737163,892011
65,568372,634615,667559,730544,882224
66,559944,626093,659941,722765,871123
67,551167,616829,650996,714338,858715
68,542136,606680,641217,704427,845310
69,532445,595793,630736,693493,830074
70,522054,584374,619335,682103,813465
71,511395,572379,607347,669858,797020
72,500480,559852,594578,656379,781016
73,489125,546780,581281,642463,764552
74,477521,533263,567456,628004,748083
75,466420,519838,553155,612973,731125
76,455318,506331,538380,597502,714125
77,443900,492704,523454,581959,696503
78,432644,479152,508721,566535,678280
79,421968,465912,494352,551091,660275
80,411072,453023,480051,535396,642165
81,400230,440418,466117,519674,624445
82,389597,428184,452539,504091,606914
83,379174,416202,439370,488737,589368
84,368953,404616,426470,474025,571816
85,358796,393408,413858,459548,554633
86,348748,382423,401665,445201,537765
87,338533,371677,389845,430946,521022
88,328145,361301,378463,417465,504785
89,317605,351290,367423,404358,489312
90,306874,341413,356869,391484,474780
91,296250,331693,346468,378983,460260
92,286016,322055,336344,366879,445811
93,276153,312568,326250,354854,431501
94,266893,303229,316253,342831,417110
95,257938,293846,306332,330864,402454
96,249270,284513,296559,319171,387704
97,240841,275267,286897,307672,373095
98,232363,266171,277328,296360,358637
99,223940,257121,267891,285414,344468
100,215597,248179,258541,274741,330567
