TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,552049,739413,752213,813246,1127536
2,499298,668138,681772,744284,1004051
3,451594,604625,617420,677342,909568
4,408456,546527,559681,624916,846863
5,369444,494235,506729,569422,774112
6,334164,446645,458622,520397,702304
7,302258,402766,414811,474632,641936
8,273403,363031,375315,432150,588512
9,247306,327462,339442,395068,544612
10,223705,295377,306376,357280,506567
11,173188,222557,232421,261713,358680
12,151840,194341,203461,228565,310300
13,132810,170456,178772,200318,270316
14,117609,150228,157811,176372,237378
15,104650,133211,140090,156082,208586
16,93879,118653,124990,138750,183699
17,84510,106306,112177,124026,163226
18,76709,95922,101362,111537,146130
19,70111,87156,92144,100932,131082
20,64810,79853,84511,92270,118567
21,60377,74097,78569,85357,108506
22,56994,69521,73891,80104,100655
23,54451,66028,70361,76129,94525
24,52940,63612,68150,73460,90219
25,52267,62759,67502,72433,88699
26,52708,63411,68523,73204,89487
27,54262,65667,71186,76167,93453
28,56904,69526,75411,81007,100707
29,60363,74273,80972,87472,109825
30,64738,79980,87601,95379,119672
31,70028,86931,95762,105253,131684
32,76342,95166,105425,116814,146077
33,84111,104850,116940,129933,162586
34,92286,116085,130182,144833,180646
35,101544,128873,145083,161613,201811
36,111622,143633,161870,180604,226507
37,123176,160142,180648,201892,253529
38,135601,178372,201468,225660,283484
39,149132,198479,224663,252176,318669
40,163127,220299,249798,280577,357655
41,178104,242876,275636,310215,399320
42,193044,266493,302438,340736,442153
43,208166,290790,329710,372060,484926
44,222943,315435,356348,402782,525818
45,238002,339410,382352,431151,564176
46,252965,362191,406525,457697,599240
47,267166,382780,429620,482017,628480
48,280732,402250,451146,503342,654187
49,292783,420936,470372,521504,678881
50,303760,437769,487058,535951,703205
51,313845,452218,500998,547147,727798
52,322999,464052,511874,556221,750272
53,331390,473548,519475,564617,769582
54,338896,480409,525032,572072,787965
55,345922,485025,529362,577783,804316
56,352390,487622,533059,582420,817716
57,357844,489142,536023,585934,828949
58,362550,489619,537776,588675,837312
59,366474,489134,538367,590610,841930
60,369590,487754,537997,591279,843759
61,371876,485447,536677,591341,841839
62,373316,482035,534209,589805,837187
63,373900,477483,530661,586789,831478
64,373441,471843,526057,582559,824196
65,371823,465283,520405,577166,814982
66,369104,457978,513715,571311,803704
67,365477,450341,506015,565060,791005
68,361437,442396,497864,558298,776975
69,356930,433947,489367,550999,761213
70,351742,425130,480695,542888,743836
71,345592,416090,471931,533949,725043
72,338416,407083,462890,524602,705806
73,330621,397747,453609,514994,686311
74,322310,388638,444473,504970,666586
75,313276,379739,435338,494963,646732
76,303960,370856,425887,484721,627453
77,294600,362098,416228,474407,608732
78,285284,353529,406722,463748,590553
79,276028,345164,397426,452842,572902
80,266844,336987,388156,442021,555128
81,257745,329023,378983,431151,537962
82,248741,320942,370032,420563,521367
83,239846,312803,361268,410278,505217
84,231069,304397,352747,400296,489615
85,222383,295930,344449,390589,474764
86,213779,287425,336326,381155,460602
87,205274,278670,328324,372001,446878
88,196893,269648,320114,363089,433971
89,188654,260404,311658,354210,421836
90,180573,250980,302757,345297,410427
91,172773,241421,293276,336256,399692
92,165302,231764,283409,326864,389546
93,158148,222041,273188,316850,378507
94,151272,212298,262558,306133,367681
95,144663,202553,251642,295063,357439
96,138229,192908,240535,283525,347780
97,132012,183333,229335,271579,337507
98,126062,173869,218165,259345,326125
99,120356,164550,206987,246807,313770
100,114864,155395,195825,234059,300583
