TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,561381,970876,1293874,1574744,2365366
2,565307,1044679,1403624,1742989,2515505
3,568119,1127101,1535336,1955616,2737118
4,591927,1180167,1634808,2125443,3192591
5,621782,1270212,1784504,2284238,3480110
6,652874,1321317,1895125,2448105,3947838
7,680882,1396880,2041373,2634569,5052826
8,696340,1470140,2207508,2771564,5272487
9,711428,1547275,2346464,3035762,5733609
10,726887,1629028,2460786,3154137,4865840
11,585127,1224824,1797814,2426974,4009235
12,550012,1185329,1763104,2406417,4002658
13,498478,1118926,1696757,2349074,3950852
14,437683,1006437,1584368,2239629,3848938
15,381321,886063,1417792,2057616,3668544
16,331422,758983,1216135,1809820,3433537
17,282516,644295,1037632,1557296,3189937
18,239771,550169,883773,1344265,2814691
19,207014,472840,759242,1188853,2553473
20,175731,413346,673531,1072620,2346689
21,155807,372915,608115,979518,2170701
22,140494,340363,557319,913386,2021642
23,130631,315506,520271,857940,1897934
24,122485,297097,491412,810372,1787387
25,116555,285120,467439,770579,1688638
26,111969,276781,448514,736328,1596122
27,109299,270032,434529,704440,1516970
28,108875,265680,425366,679544,1459639
29,110334,264586,418441,663074,1428854
30,113471,265716,414136,655050,1413263
31,118789,268402,414273,654016,1403260
32,126784,276053,419552,657567,1412066
33,140780,290319,431947,668474,1433687
34,161701,319818,456813,692823,1472565
35,186885,359466,503680,742726,1540600
36,216295,414104,576634,828174,1640481
37,254915,481073,662031,942365,1745750
38,301430,553947,759224,1067443,1932943
39,350148,631604,860441,1178279,2081942
40,413072,705925,941964,1269443,2205257
41,466081,763302,1011538,1346086,2342990
42,516323,815137,1072365,1399247,2472709
43,554011,857596,1116459,1446288,2587819
44,587408,890146,1151059,1485612,2705857
45,612617,914480,1182549,1518991,2812779
46,633469,933393,1208157,1546756,2918287
47,649840,950445,1229847,1570253,3005274
48,661230,965499,1247551,1590466,3072318
49,669830,979254,1265454,1606585,3130662
50,678370,989054,1280135,1616794,3191040
51,684028,997029,1292057,1623202,3256214
52,687031,1004919,1300719,1629725,3320799
53,689555,1011170,1305844,1634256,3376418
54,692330,1014534,1308518,1634736,3415652
55,695149,1015706,1306661,1632775,3432602
56,695487,1014968,1304653,1630777,3429060
57,693052,1011757,1301444,1625626,3425723
58,688310,1009053,1296678,1614100,3415248
59,681677,1006132,1289732,1599353,3391483
60,673943,1003881,1282078,1584207,3360916
61,665487,999344,1273736,1571120,3320737
62,656122,991773,1263781,1556908,3282701
63,645780,984157,1253609,1541053,3249773
64,635802,976272,1241587,1524385,3204634
65,625902,966559,1230910,1508992,3147024
66,615234,956470,1220081,1494362,3077479
67,603478,946000,1209054,1479347,2997043
68,590069,935758,1196898,1465203,2911614
69,575664,924312,1184099,1452477,2822007
70,558550,912951,1170766,1439769,2728415
71,541076,901956,1157470,1426057,2630112
72,523520,889331,1144126,1411950,2533002
73,504196,876711,1131199,1397887,2443205
74,483248,863718,1117972,1384661,2360994
75,461971,850429,1105351,1370114,2285778
76,441644,836649,1092532,1354876,2217385
77,422573,823398,1079672,1339199,2152858
78,404831,808320,1066080,1325900,2091472
79,388326,791613,1052607,1313888,2032905
80,372900,773948,1037629,1302387,1979084
81,357992,755225,1020671,1291910,1929562
82,343359,735767,1004282,1281416,1881666
83,329681,714841,989297,1270279,1833072
84,316252,693002,973710,1258554,1792772
85,303216,671361,957247,1246961,1760215
86,290989,649412,940993,1235603,1734832
87,279512,627590,924272,1224836,1716174
88,268566,605568,908469,1212492,1701100
89,258131,583898,892455,1198828,1688445
90,249019,561640,877497,1185061,1676918
91,240060,539014,863247,1173002,1665884
92,231164,515933,849611,1161023,1652512
93,222543,492100,836460,1149645,1639436
94,214228,468205,823864,1137330,1626141
95,206220,445540,811508,1125108,1612869
96,198481,423043,799422,1113614,1599527
97,190910,401502,786068,1101854,1584508
98,183351,380872,773340,1089995,1569755
99,175829,361247,761110,1077776,1553323
100,168363,342603,749805,1064107,1535024
