TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,2394125,6002199,7462178,8537879,10598197
2,2279630,5627358,7106194,8064492,10039695
3,2170611,5203018,6817038,7623819,9552146
4,2066805,4803411,6451227,7200434,9003673
5,1967963,4434497,6146879,6764697,8424346
6,1885570,4237738,5825847,6409429,8042825
7,1832380,4014871,5543769,6091596,7684330
8,1781640,3787043,5266510,5852924,7388822
9,1733234,3590344,5008094,5554816,7128584
10,1687050,3404517,4702034,5213987,6906347
11,932040,2100539,3103952,4054177,6246798
12,806960,1783689,2639384,3470168,5351196
13,705305,1530928,2254172,2974034,4607898
14,626525,1322099,1933983,2558668,3972003
15,559303,1146273,1666232,2209687,3445486
16,502722,1001159,1440083,1914619,3035269
17,453030,877763,1255158,1681706,2714827
18,412630,780024,1108189,1499236,2468960
19,377839,698095,995260,1355651,2274855
20,348604,631978,904812,1246650,2114896
21,323080,581524,832286,1158125,1989859
22,302548,539253,773004,1085803,1887690
23,285089,506200,724091,1027794,1808283
24,274918,479885,686701,981336,1737527
25,270325,460808,656811,944454,1675383
26,277752,448812,636145,917168,1627630
27,292054,447989,629133,899453,1591258
28,312846,467546,634512,890789,1566543
29,336258,505498,678379,901230,1549684
30,366120,553884,744097,975173,1565398
31,402390,609990,823815,1081256,1665232
32,444716,672547,911600,1198635,1863588
33,489768,737374,1007598,1330983,2083760
34,533387,807913,1110641,1478426,2341159
35,580333,887134,1224403,1640027,2623717
36,629417,971849,1348745,1823329,2908738
37,681967,1062920,1477370,2006448,3187773
38,731672,1153427,1603068,2181628,3448861
39,781461,1246033,1716907,2344852,3689724
40,829008,1333391,1821159,2487969,3917983
41,876507,1408733,1916091,2622445,4116159
42,918926,1482059,2002264,2749190,4303555
43,958782,1554435,2082734,2861885,4469305
44,994980,1622020,2148249,2962668,4646376
45,1028052,1680374,2205365,3051906,4818654
46,1058460,1735173,2249384,3126011,4967030
47,1084976,1779936,2287387,3184297,5097945
48,1106641,1818690,2321159,3230010,5209191
49,1125375,1852008,2348013,3272446,5307482
50,1140250,1880058,2367913,3304802,5395668
51,1152610,1905905,2382905,3328659,5466802
52,1163064,1925564,2395730,3344873,5513786
53,1168742,1938267,2405648,3355327,5545198
54,1169789,1943305,2414514,3356447,5551786
55,1167013,1944070,2417021,3357216,5547579
56,1160776,1941850,2418768,3348949,5529922
57,1153176,1937591,2419036,3336270,5498643
58,1144281,1924386,2415178,3321673,5453827
59,1134126,1908471,2405123,3302578,5405254
60,1122750,1890454,2392511,3277918,5354005
61,1109761,1866433,2377590,3250558,5300117
62,1094341,1837663,2361225,3217815,5239335
63,1077118,1803017,2339584,3181164,5166668
64,1056542,1764430,2319642,3136382,5076784
65,1033589,1721872,2293125,3085675,4982674
66,1008086,1677999,2261296,3032779,4885844
67,981058,1632186,2224624,2979062,4788163
68,953542,1584108,2184223,2924056,4676007
69,925692,1532889,2136881,2864774,4555931
70,897033,1480113,2083582,2804769,4437641
71,866898,1425569,2023712,2743341,4321998
72,836013,1371982,1960860,2678429,4206957
73,804771,1320619,1895798,2612970,4091402
74,773453,1271175,1828975,2548672,3975080
75,742492,1220340,1761944,2482860,3858692
76,712350,1168924,1693198,2411869,3744349
77,683037,1117554,1624151,2337310,3632100
78,654384,1067915,1555377,2259337,3522720
79,626646,1019250,1486763,2177959,3417288
80,599790,971937,1418326,2094442,3315736
81,573625,926410,1348876,2008830,3217925
82,547674,882550,1281503,1919634,3125560
83,521981,840411,1216070,1831057,3035196
84,496779,799584,1150465,1745752,2948088
85,471820,760519,1088134,1661564,2867699
86,447769,722446,1028442,1577288,2792618
87,424831,684747,971131,1492262,2712875
88,402225,649217,916288,1407584,2629160
89,380478,615499,864417,1322396,2540567
90,359577,582982,815109,1240847,2445576
91,339554,551601,768886,1163419,2337681
92,320423,521826,724260,1088516,2222112
93,302230,493089,681641,1016114,2101485
94,285090,465515,641033,946443,1982605
95,268914,439149,602112,878917,1869365
96,253505,413737,564936,814393,1759321
97,238787,389987,529055,753665,1648298
98,224648,367417,494755,695861,1537002
99,210936,345907,462087,641923,1425816
100,197905,325486,431251,591487,1315837
