pop,kind,n,segs,seg_per_pair,arms,Ne10,Ne25,Ne50,Ne100
FIN,sub,99,46409,9.566893424036282,39,412566.0,48462.0,12118.0,14116.0
LWK,sub,99,19693,4.059575345289631,39,270626.0,82101.0,123124.0,31664.0
GIH,sub,103,17543,3.339615457833619,39,129438.0,99217.0,60804.0,23521.0
PJL,sub,96,12316,2.700877192982456,39,155872.0,59341.0,56528.0,69999.0
ESN,sub,99,10520,2.168625025767883,39,70325.0,100149.0,690750.0,154024.0
CDX,sub,93,6340,1.4820009350163628,39,377114.0,148294.0,244711.0,71323.0
STU,sub,102,7303,1.4177829547660648,39,306376.0,67502.0,487058.0,195825.0
MSL,sub,85,4613,1.2921568627450981,39,134136.0,92542.0,332234.0,137295.0
ASW,sub,61,2140,1.169398907103825,39,29680.0,259143.0,553303.0,170076.0
GBR,sub,91,4737,1.1567765567765569,39,180895.0,214904.0,729720.0,146267.0
CEU,sub,99,4624,0.953205524634096,39,352074.0,951720.0,1619332.0,154035.0
GWD,sub,113,5287,0.8354930467762326,39,180043.0,221229.0,325956.0,136684.0
KHV,sub,99,4021,0.8289012574726861,39,1517900.0,726761.0,233994.0,104112.0
YRI,sub,108,4623,0.8001038421599169,39,3463264.0,822413.0,2102918.0,292861.0
IBS,sub,107,4347,0.766531475930171,39,1159716.0,839357.0,430540.0,86342.0
ITU,sub,102,3187,0.6187148126577363,39,1051587.0,888263.0,477638.0,100671.0
ACB,sub,96,2746,0.6021929824561404,39,151106.0,372355.0,2093720.0,413543.0
TSI,sub,107,3199,0.5640980426732499,39,2460786.0,467439.0,1280135.0,749805.0
JPT,sub,104,3017,0.563293502613891,39,15202792.0,13086154.0,6492369.0,237064.0
CHS,sub,105,2784,0.5098901098901099,39,207214.0,574502.0,777520.0,248361.0
BEB,sub,86,1148,0.3140902872777018,39,1597816.0,1310246.0,708183.0,224762.0
CHB,sub,103,354,0.067390062821245,38,100000000.0,100000000.0,100000000.0,16432711.0
EUR,super,503,97244,0.770231202426873,39,2680532.0,619336.0,405640.0,148525.0
SAS,super,489,50308,0.4216366623084917,39,1254209.0,511066.0,659491.0,258541.0
AFR,super,661,84367,0.38677394214459265,39,924505.0,875510.0,3108702.0,372616.0
EAS,super,504,26983,0.21287355233677302,39,3386424.0,2203413.0,2970741.0,671872.0
