TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,4599234,6652603,7414243,8750151,12206315
2,4262499,5960473,6658368,7813829,10783566
3,3950426,5335446,5974905,6934575,9556874
4,3661208,4775937,5354666,6119548,8597504
5,3378740,4270553,4792256,5462865,7735534
6,3084661,3823719,4307052,4888537,6909973
7,2759158,3421227,3834802,4395118,6111415
8,2513681,3058107,3451384,3946990,5405364
9,2290362,2717933,3089323,3558547,4781078
10,2097599,2448937,2747932,3226409,4311114
11,1711582,2097797,2331995,2662614,3495314
12,1520276,1841339,2043852,2323694,3022162
13,1352818,1621846,1796991,2034494,2622014
14,1206721,1435577,1587805,1790912,2285245
15,1082150,1279528,1412564,1588495,2003654
16,977253,1150179,1266412,1418726,1766148
17,888704,1042438,1144608,1278067,1568856
18,814527,953271,1043852,1160261,1405370
19,753807,879537,960170,1062235,1271974
20,703893,819963,891281,980770,1162907
21,662744,770798,835341,913465,1072060
22,629354,731299,790096,859093,995924
23,602252,700298,754119,815890,934398
24,582712,677284,727424,782785,886641
25,571232,662558,709961,761033,852089
26,566976,655988,701921,750185,833872
27,571308,659195,703828,750278,831529
28,582423,669441,714441,761540,842388
29,600145,687499,733454,780997,866543
30,623170,713055,760346,810623,897501
31,652825,745675,794870,847774,939851
32,687805,784484,836025,891802,991379
33,727749,829012,883046,941898,1051909
34,772212,878010,934648,997303,1119787
35,819526,929848,989372,1056055,1191649
36,867829,982791,1045991,1118943,1268546
37,917473,1036869,1104218,1182996,1348412
38,968704,1091999,1163738,1249857,1429714
39,1018411,1147401,1223200,1317816,1511786
40,1066775,1200949,1282264,1387002,1594278
41,1113985,1253182,1339971,1454934,1677148
42,1160204,1303434,1395805,1519937,1760723
43,1205564,1351193,1449538,1583330,1841109
44,1249096,1396227,1500644,1643109,1919622
45,1289667,1437780,1548735,1698852,1994269
46,1326733,1476103,1593101,1749793,2063573
47,1359660,1510205,1633110,1796797,2124986
48,1388479,1541390,1669175,1841229,2180342
49,1412867,1569615,1700401,1880829,2226549
50,1433431,1593439,1728559,1914931,2273821
51,1449480,1613862,1752276,1945255,2315647
52,1461660,1630896,1771677,1971191,2346191
53,1468864,1643685,1786613,1992880,2367921
54,1472658,1652296,1797867,2008854,2383020
55,1472691,1657607,1805978,2020502,2395874
56,1470683,1660561,1811230,2026879,2405506
57,1466782,1660459,1811867,2029362,2409988
58,1460617,1656503,1808022,2027078,2412767
59,1452363,1649811,1802155,2021052,2410067
60,1442454,1639813,1793546,2009933,2402218
61,1430192,1628490,1782543,1995183,2390662
62,1415728,1614542,1769432,1978514,2375473
63,1400098,1598855,1753191,1956897,2356846
64,1382724,1581326,1734294,1932681,2333793
65,1363595,1562468,1711926,1907115,2308056
66,1342928,1542219,1688023,1878996,2279194
67,1320398,1520805,1662272,1847864,2248102
68,1297191,1497795,1634515,1812843,2215562
69,1273303,1473165,1605791,1776557,2178813
70,1248623,1447666,1575305,1739319,2136790
71,1223672,1420133,1544872,1700516,2090716
72,1199218,1391730,1513383,1662036,2045338
73,1175093,1362774,1481551,1623728,1999275
74,1150949,1333769,1448832,1586302,1953171
75,1126805,1304115,1415271,1548719,1906142
76,1101842,1274113,1381174,1510989,1859003
77,1076136,1244165,1347803,1473387,1812951
78,1050314,1213715,1314925,1435567,1767096
79,1024110,1183268,1281453,1398737,1721054
80,997538,1153615,1248114,1362179,1674998
81,971230,1123609,1214368,1326319,1628825
82,945109,1093885,1180687,1290316,1582089
83,919056,1064794,1146994,1254101,1534745
84,893629,1036096,1113784,1218542,1486657
85,868873,1007150,1081324,1183150,1438005
86,844704,978672,1049203,1147624,1389753
87,820983,950052,1017965,1113216,1342081
88,797666,921642,987106,1080164,1294623
89,774834,893700,956490,1047328,1248272
90,752357,866395,926393,1014567,1203038
91,730095,839897,896544,982249,1158924
92,708065,813964,867739,950683,1116104
93,685665,788062,839391,919789,1074636
94,662846,762629,811856,889634,1034848
95,639708,737904,784907,860211,996424
96,617003,713698,758678,831345,959484
97,594916,690145,733028,802976,923065
98,573770,667394,707693,775269,887689
99,553659,644992,683219,747741,853422
100,534436,623039,659118,720755,820099
