TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,642810,1358976,2048991,3628350,9978010
2,687259,1361244,2030530,3436924,8936840
3,752139,1361584,1983121,3260133,8008597
4,816938,1397705,1942508,3124467,7257882
5,875999,1413522,1881269,3002064,6592501
6,931671,1424178,1871546,2872521,5992130
7,990535,1452873,1806336,2756007,5450101
8,1000905,1466132,1817035,2677381,4960460
9,1123650,1480010,1805924,2619143,4555252
10,1118289,1471525,1769141,2508664,4219271
11,946635,1416056,1832626,2565015,4736302
12,968706,1416210,1812443,2496991,4485336
13,987790,1417584,1791213,2437556,4271319
14,999842,1415657,1772777,2386443,4094706
15,1005296,1409801,1757295,2340856,3948229
16,1005430,1398204,1743516,2298613,3829427
17,1000468,1385122,1731051,2262172,3728610
18,991378,1370770,1720013,2234898,3649967
19,981191,1356026,1707986,2208193,3589122
20,964257,1340690,1695201,2183840,3550675
21,946977,1326071,1682417,2167205,3531800
22,929189,1311507,1665811,2151185,3529587
23,912117,1294971,1645179,2132833,3543734
24,897539,1278290,1630106,2117323,3569052
25,883646,1259447,1616619,2102458,3598785
26,869538,1242055,1600865,2094011,3627000
27,853818,1224583,1588480,2086223,3655584
28,837443,1206287,1575599,2075477,3685348
29,820185,1186091,1564184,2064651,3697857
30,802914,1165488,1549751,2049134,3719262
31,785136,1145604,1535680,2036290,3750125
32,766244,1124657,1524542,2019801,3786941
33,746926,1102593,1513589,2002275,3827866
34,729075,1081765,1500257,1984674,3869325
35,711695,1062149,1483891,1967810,3905297
36,694268,1046550,1467124,1950882,3931819
37,676326,1031472,1446482,1934141,3956536
38,658613,1015974,1424819,1910952,3973466
39,640857,997921,1402429,1885168,3979116
40,622714,978033,1380710,1855382,3960845
41,603604,956988,1358433,1817872,3920320
42,585029,933466,1334418,1779805,3867630
43,566105,910040,1308481,1741973,3803342
44,546998,885069,1280322,1702242,3731575
45,528683,859131,1250796,1662011,3649680
46,510365,831278,1220699,1619596,3556516
47,491788,802107,1186120,1575136,3458301
48,473418,773242,1148546,1531273,3353695
49,456004,745248,1108335,1488003,3239899
50,438715,717796,1068411,1445928,3122133
51,422243,689351,1025396,1403139,3002718
52,405788,660635,981824,1359930,2879994
53,388720,631661,938661,1316333,2754667
54,370755,603355,896290,1271532,2627930
55,352426,574013,854560,1226062,2507005
56,333869,543787,813254,1180791,2393534
57,316420,512990,773586,1137160,2287018
58,299362,482545,735722,1094887,2186964
59,282525,454120,698694,1052832,2096483
60,265825,427617,661594,1011624,2014893
61,249520,401545,625565,971537,1939606
62,233101,377366,590803,932635,1867182
63,216551,354502,556911,895150,1796063
64,200398,332619,522657,858797,1726630
65,184870,312140,490209,822561,1661998
66,170022,293300,459381,784939,1603176
67,155765,275625,431208,747502,1547784
68,142049,259081,405398,711573,1496474
69,128968,242875,381418,677216,1447898
70,116955,227520,358360,644609,1401061
71,105510,213308,337332,610932,1351836
72,94812,200120,317223,577656,1300847
73,85317,187800,298518,545620,1248222
74,76908,176391,280632,514568,1196221
75,69410,166225,263914,485351,1140484
76,62853,157105,248387,457598,1082358
77,56915,148866,233387,430153,1020513
78,51551,141112,219139,404269,956699
79,46631,133609,205980,380718,895591
80,42177,126366,193720,358636,838453
81,38301,119774,182272,338588,785907
82,34983,113672,171773,319653,738115
83,32138,108108,162207,301363,693907
84,29645,103200,153629,283928,652654
85,27419,98716,145598,267743,613726
86,25384,94405,137997,252885,576652
87,23551,90282,130803,239616,541210
88,21939,86638,124116,227066,507464
89,20499,83352,118133,214973,476387
90,19250,80399,112561,203453,447860
91,18186,77577,107484,193296,422506
92,17243,74959,102985,184105,399724
93,16415,72446,98747,175669,379291
94,15708,70112,94978,168066,360592
95,15119,67871,91534,160654,344556
96,14597,65650,88376,153704,330802
97,14136,63559,85642,147251,319673
98,13731,61694,83179,141106,310693
99,13409,59929,80837,135243,302917
100,13201,58240,78748,129829,296239
