TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,22079595,33191584,43768366,60728629,100000000
2,22203472,33241822,43977370,60670995,100000000
3,22328313,33308258,44188530,60903351,100000000
4,22454121,33391290,44401870,61284132,100000000
5,22580907,33497665,44540792,61667506,100000000
6,22708679,33542500,44361317,62053491,100000000
7,22831988,33587480,44183155,62442106,100000000
8,22953799,33632606,44006296,62833367,100000000
9,23076535,33677876,43965386,63227295,100000000
10,23209349,33764322,44024388,63811596,100000000
11,23181838,33555426,44492631,63946135,100000000
12,23243697,33543287,44555330,64247081,100000000
13,23288169,33517262,44600713,64542710,100000000
14,23315160,33473136,44631569,64817480,100000000
15,23324569,33411468,44638812,65053436,100000000
16,23315935,33334825,44622365,65224086,100000000
17,23292478,33238589,44598250,65326219,100000000
18,23248434,33121221,44563996,65357180,100000000
19,23179609,32982444,44510441,65320876,100000000
20,23084997,32817905,44430816,65230875,100000000
21,22955471,32632829,44321695,65101573,100000000
22,22794545,32434568,44184538,64913544,100000000
23,22602885,32216122,44026016,64661593,100000000
24,22381285,31979315,43820949,64369726,100000000
25,22127634,31722000,43566744,64040324,100000000
26,21845427,31453030,43273156,63665864,99989475
27,21541942,31171648,42938084,63232658,99973700
28,21233972,30874827,42561356,62739995,99952683
29,20921600,30558686,42138460,62194533,99926432
30,20604947,30228796,41675442,61600592,99894959
31,20280109,29878850,41174229,60981903,99856971
32,19949028,29509086,40633326,60336055,99769925
33,19613920,29121118,40058802,59663791,99634497
34,19278455,28724848,39452930,58966143,99451429
35,18939333,28310499,38815375,58252987,99187865
36,18597349,27877157,38158008,57537498,98829542
37,18250417,27441183,37482173,56800865,98344221
38,17898091,26991861,36791285,56029353,97733894
39,17545259,26532652,36110470,55275717,97012736
40,17189645,26063474,35418823,54494913,96141720
41,16837685,25575902,34716342,53659467,95134758
42,16486359,25067525,34011702,52792340,93996373
43,16127334,24542966,33281952,51896279,92731625
44,15768543,24006917,32544639,50954709,91348222
45,15410304,23462015,31807113,49969719,89879799
46,15050875,22895148,31070141,48960437,88312366
47,14691824,22314095,30334469,47945762,86647751
48,14326641,21729773,29607230,46903996,84892871
49,13964802,21148823,28897317,45846066,83054868
50,13598176,20576156,28187200,44753804,81142145
51,13230082,20016721,27475185,43609212,79201368
52,12867410,19464537,26760516,42442792,77221573
53,12504483,18915431,26044346,41259659,75198209
54,12134826,18366122,25325750,40074176,73115090
55,11766526,17827242,24612238,38888471,71003977
56,11400610,17297161,23901700,37703286,68845682
57,11040239,16768734,23191502,36541863,66690854
58,10688911,16251991,22492073,35411424,64543561
59,10348061,15747931,21794622,34262188,62400164
60,10019733,15254511,21112516,33101918,60229562
61,9703774,14777185,20432027,31939858,58064288
62,9396789,14302170,19750334,30779751,55919238
63,9101667,13835404,19083127,29627622,53771789
64,8813948,13380141,18439488,28498220,51648366
65,8534152,12932363,17808665,27392899,49537451
66,8262146,12495982,17180086,26319303,47478070
67,7999601,12073354,16557314,25266896,45436831
68,7744998,11665378,15961033,24250640,43418948
69,7493266,11269605,15374808,23256641,41429296
70,7249286,10876182,14792115,22292034,39468316
71,7012828,10488665,14224732,21358929,37522561
72,6780367,10111013,13667194,20448587,35621413
73,6555033,9744735,13122511,19556083,33772480
74,6338636,9382042,12605088,18692326,31987965
75,6132797,9028229,12108226,17850896,30278459
76,5932090,8683262,11634173,17039216,28644246
77,5729978,8347138,11183497,16255566,27076859
78,5530192,8014025,10749411,15490327,25578817
79,5331792,7684384,10324535,14750903,24165367
80,5134876,7367903,9909984,14039030,22847644
81,4940982,7063841,9513578,13351311,21617458
82,4750232,6768949,9127715,12692952,20465082
83,4563429,6483767,8745481,12064662,19394893
84,4383295,6210861,8363513,11455217,18393150
85,4205536,5945073,7994505,10862527,17455300
86,4031601,5689446,7647076,10290579,16581194
87,3861117,5442182,7316287,9758460,15762850
88,3692975,5201695,6990885,9249304,14991421
89,3527743,4969564,6669313,8763656,14264336
90,3367062,4745356,6366410,8299032,13595196
91,3211423,4528026,6073329,7869295,12960719
92,3062054,4312796,5791253,7458937,12351010
93,2915730,4107497,5520595,7072507,11774857
94,2775149,3913808,5254171,6715611,11236071
95,2638248,3727882,4994791,6379486,10739135
96,2504976,3544778,4743256,6066586,10285146
97,2378020,3365113,4501667,5768939,9871392
98,2256521,3197697,4268200,5489066,9492227
99,2139728,3039213,4042596,5230935,9138357
100,2027607,2885469,3825742,4995696,8809772
