TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,19690184,38723872,59584110,87151565,100000000
2,19764748,38744368,59359452,87611376,100000000
3,19839769,38764995,59323034,88074005,100000000
4,19915250,38774371,59343136,88539478,100000000
5,19991195,38725941,59364364,89006573,100000000
6,20067607,38756322,59273834,89321027,100000000
7,20144489,38860848,59101591,89621598,100000000
8,20221843,38989790,59078291,89923300,100000000
9,20299675,39034059,59055398,90226137,100000000
10,20377986,39033104,59032915,90530115,100000000
11,20440142,39139231,58623319,89071360,100000000
12,20509347,39165410,58416138,88955350,100000000
13,20574984,39180321,58217791,88825972,100000000
14,20638048,39195256,58013843,88680686,100000000
15,20698530,39199515,57803061,88514181,100000000
16,20754117,39197292,57609369,88339770,100000000
17,20804766,39180973,57424169,88128490,100000000
18,20850938,39149972,57251345,87870437,100000000
19,20888851,39098929,57083607,87558903,100000000
20,20918487,39032233,56917093,87188909,100000000
21,20939835,38989167,56743550,86732409,100000000
22,20949854,38952482,56532770,86183416,100000000
23,20956477,38897460,56269619,85530917,100000000
24,20958065,38816473,55957683,84779509,100000000
25,20954602,38717860,55645576,83947139,100000000
26,20946078,38599610,55287571,83082274,100000000
27,20932488,38417580,54892916,82213746,100000000
28,20910851,38168373,54458017,81346593,99999999
29,20887244,37864069,53982250,80480682,99998163
30,20851292,37524478,53490383,79612243,99996173
31,20803176,37153385,53026318,78699051,99958715
32,20742952,36759794,52565236,77744855,99886173
33,20670112,36347553,52048719,76689024,99790182
34,20582642,35903438,51473938,75536394,99662525
35,20480704,35434613,50858527,74289159,99516686
36,20371760,34924700,50207450,72934685,99355919
37,20250360,34380352,49507272,71529825,99164666
38,20113208,33811217,48725132,70042910,98902406
39,19957743,33209667,47865335,68543808,98569759
40,19784467,32580209,46959355,67002682,98167491
41,19593110,31887834,46032016,65485093,97696519
42,19389961,31147327,45109403,63975707,97157900
43,19171661,30383187,44210065,62500408,96552831
44,18930763,29603810,43317005,61055357,95865438
45,18666490,28805939,42371078,59644698,95055768
46,18379530,27995075,41412351,58257598,94127015
47,18071049,27202883,40441956,56848491,93059046
48,17744647,26428852,39457482,55415301,91850023
49,17402163,25669154,38455402,53954557,90466607
50,17043372,24910859,37450409,52506756,88909895
51,16669549,24174720,36420300,51087011,87220411
52,16283407,23454659,35378137,49675605,85417299
53,15890989,22743783,34360388,48247810,83485620
54,15493830,22034861,33346060,46839974,81402633
55,15074881,21325389,32338443,45465967,79128671
56,14642995,20627973,31315509,44121881,76729111
57,14203878,19950989,30302574,42782642,74231083
58,13760700,19278024,29313832,41476441,71678644
59,13318930,18621496,28348777,40168712,69129431
60,12879298,17991512,27379596,38903447,66587004
61,12443024,17387883,26413452,37623089,64075936
62,12014876,16798807,25451841,36329756,61583503
63,11587393,16229232,24483830,35019026,59135233
64,11162593,15676366,23517376,33709201,56722713
65,10741251,15112073,22578276,32413656,54331142
66,10324382,14552337,21651298,31120488,51984649
67,9909708,14006091,20737800,29841184,49711621
68,9504714,13474088,19851859,28570613,47495978
69,9109116,12945756,18995827,27335171,45371397
70,8718611,12430786,18164372,26124293,43348083
71,8343062,11931991,17356595,24922547,41405613
72,7978944,11449114,16588329,23773486,39517777
73,7624352,10976962,15820950,22695143,37652671
74,7279644,10524205,15070862,21649313,35868448
75,6953264,10090191,14346768,20631469,34198158
76,6640303,9671336,13650863,19645634,32581711
77,6342812,9265262,12978954,18691234,31012095
78,6053436,8872597,12334319,17778191,29497447
79,5773173,8494974,11710518,16886025,28014110
80,5501986,8124476,11108013,16025205,26561323
81,5239819,7765372,10538124,15211081,25164237
82,4983295,7416695,9981173,14422880,23809017
83,4737612,7079313,9458078,13687512,22495145
84,4503257,6748827,8966337,12988028,21229225
85,4277423,6438813,8498093,12315029,20029784
86,4063254,6144931,8067020,11662499,18920147
87,3860403,5860956,7662418,11034095,17827688
88,3665370,5584604,7284561,10435118,16793780
89,3476084,5325852,6928390,9867430,15838373
90,3299566,5075214,6584737,9337264,14960611
91,3130990,4828910,6256374,8832929,14157270
92,2968720,4592287,5943636,8343608,13427365
93,2812571,4363662,5646062,7878801,12777003
94,2662453,4140261,5362952,7436347,12186081
95,2516722,3923691,5095083,7021245,11643143
96,2377172,3719931,4838669,6618733,11154854
97,2244819,3522454,4591330,6245932,10717749
98,2120452,3334969,4352220,5892165,10326319
99,2003271,3159062,4128809,5567704,9978281
100,1892851,2992371,3921386,5263996,9672483
