TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,3281892,4632997,6581946,9705392,17946371
2,3063986,4256913,6040976,8659885,15691514
3,2860790,3868667,5539085,7787068,13720066
4,2671294,3525526,5041801,7035514,11996394
5,2508871,3230162,4590547,6305090,10527742
6,2329148,2963244,4148195,5633542,9262667
7,2136416,2744413,3785356,5084822,8149734
8,1967067,2503524,3431000,4660478,7172120
9,1816029,2354273,3117924,4260127,6313032
10,1672941,2158236,2845709,3889820,5556931
11,1564345,2042785,2694619,3525721,5261354
12,1441177,1871394,2448483,3168754,4643363
13,1325727,1713977,2223153,2849498,4105132
14,1217643,1569150,2017142,2562392,3640231
15,1116448,1437172,1830272,2303830,3235873
16,1021309,1315987,1660297,2071139,2883221
17,931872,1204573,1505360,1862738,2573219
18,848405,1101595,1363827,1674426,2300182
19,771073,1006780,1234739,1504842,2060446
20,699497,918321,1117918,1352979,1849768
21,633458,836979,1012171,1216506,1664294
22,572621,762172,915845,1095247,1501093
23,516273,693252,828536,987147,1357395
24,464362,630083,748837,890133,1229921
25,416900,572076,676406,802690,1116571
26,373733,518949,609998,723151,1014860
27,334559,469887,550175,651889,921043
28,299094,424139,495679,587274,834126
29,266805,381830,445591,527639,753581
30,237077,343089,400274,472845,679321
31,210516,307500,358695,423346,610793
32,186735,275361,320667,378530,547662
33,165668,245865,285973,337704,489825
34,147148,218990,254715,300702,436501
35,130791,194546,226331,267350,386554
36,116363,172458,200864,237359,340974
37,103667,152735,177957,210399,299767
38,92582,135196,157526,186160,262945
39,82845,119708,139437,164516,230062
40,74285,106024,123316,145181,200723
41,66648,93906,109070,127942,175209
42,59859,83267,96595,112719,152880
43,53880,73895,85502,99402,133309
44,48663,65693,75835,87868,116230
45,44015,58507,67382,77792,101386
46,39890,52149,60074,69121,88642
47,36269,46606,53661,61523,77984
48,33072,41835,48080,55008,69168
49,30230,37724,43276,49443,61830
50,27743,34170,39080,44771,55704
51,25523,31097,35483,40725,50631
52,23543,28411,32434,37267,46433
53,21769,26106,29815,34313,42943
54,20162,24144,27563,31786,40119
55,18751,22468,25653,29629,37894
56,17503,21017,24019,27778,36093
57,16386,19758,22639,26234,34644
58,15367,18667,21474,24926,33391
59,14447,17729,20477,23827,32275
60,13600,16925,19619,22921,31367
61,12863,16244,18862,22202,30601
62,12208,15650,18214,21613,29996
63,11643,15148,17676,21131,29552
64,11139,14704,17222,20745,29267
65,10700,14329,16841,20434,29109
66,10324,14012,16529,20162,29049
67,10003,13749,16301,19954,29068
68,9766,13536,16144,19792,29077
69,9594,13391,16030,19683,29108
70,9476,13283,15986,19594,29139
71,9395,13228,15982,19552,29188
72,9352,13215,15998,19545,29251
73,9357,13253,16065,19601,29314
74,9414,13341,16165,19710,29326
75,9509,13466,16296,19857,29334
76,9641,13624,16469,20050,29335
77,9819,13829,16687,20250,29392
78,10048,14068,16941,20513,29580
79,10319,14343,17248,20826,29953
80,10646,14654,17608,21148,30493
81,11013,14988,18020,21514,31163
82,11429,15361,18452,21932,31964
83,11876,15763,18932,22403,32840
84,12367,16226,19449,22909,33784
85,12915,16740,20024,23473,34883
86,13492,17307,20649,24106,36096
87,14086,17903,21297,24802,37401
88,14653,18536,21979,25561,38875
89,15221,19165,22714,26382,40485
90,15803,19837,23469,27274,42275
91,16402,20525,24268,28227,44220
92,17029,21238,25118,29230,46298
93,17651,21947,26009,30254,48544
94,18252,22633,26930,31322,50968
95,18822,23316,27879,32446,53679
96,19368,24020,28829,33642,56641
97,19897,24702,29792,34916,59781
98,20407,25391,30764,36224,63117
99,20904,26075,31738,37568,66618
100,21382,26752,32722,38996,70134
