TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,17777203,24553059,26004824,28776064,46807098
2,15831888,21720019,23100783,25642275,41823358
3,14099446,19213884,20470598,22805562,37371162
4,12556582,17014280,18191363,20276135,33393722
5,11115486,15075966,16184532,18090501,29840327
6,9828477,13364963,14351553,16106317,26665694
7,8687318,11836764,12728333,14310333,23829380
8,7676361,10514880,11284688,12684220,21295269
9,6783471,9273012,10043064,11237560,19031109
10,5994808,8165361,8873150,10026464,17006172
11,5642107,7713163,8423797,9377806,15887118
12,5000974,6828129,7479779,8332858,14174603
13,4432377,6044448,6641955,7405145,12646117
14,3928147,5350936,5898622,6580845,11281939
15,3480878,4736967,5238213,5849051,10064454
16,3083869,4193414,4651169,5198916,8977933
17,2731714,3712186,4129997,4621713,8008329
18,2419443,3285710,3667817,4109387,7143096
19,2142614,2907694,3257700,3654675,6371034
20,1897233,2573681,2893191,3251557,5682140
21,1679752,2278593,2569772,2892501,5067510
22,1487020,2017011,2282331,2573289,4520936
23,1316242,1785286,2026300,2289729,4034842
24,1164934,1579586,1797797,2038576,3601891
25,1030892,1397255,1594930,1815416,3215487
26,909027,1235903,1414821,1617301,2869024
27,800363,1090578,1253994,1439631,2553568
28,701775,960095,1109885,1279232,2266380
29,614303,843449,979219,1133212,1998957
30,536991,739442,861922,1000046,1753627
31,469587,646430,755324,878961,1528461
32,410740,563735,660219,769988,1324454
33,359434,491109,575848,671519,1139879
34,314335,428318,501498,584407,977322
35,275224,373955,436612,508288,834674
36,241655,326555,380367,441722,711164
37,212724,285194,331689,383903,606987
38,187839,249636,289484,334006,517885
39,166040,219094,253292,291229,442785
40,147213,192851,222169,254799,378507
41,130955,170427,195603,223616,324087
42,116888,151207,172972,196831,278856
43,104603,134705,153503,173937,241265
44,94140,120537,136781,154236,209661
45,85128,108323,122359,137197,182724
46,77464,97737,109932,122462,159603
47,71022,88782,99297,109944,140384
48,65543,81169,90188,99254,124366
49,60852,74732,82529,90308,111194
50,56801,69264,75971,82792,100287
51,53262,64652,70532,76503,91423
52,50162,60781,65984,71201,84276
53,47477,57487,62186,66867,78543
54,45218,54633,58999,63241,74004
55,43295,52175,56301,60168,70267
56,41685,50145,54041,57641,67216
57,40359,48520,52156,55601,64606
58,39228,47198,50653,53949,62537
59,38431,46136,49413,52646,60947
60,37869,45291,48438,51523,59894
61,37491,44615,47651,50630,59111
62,37202,44105,47006,49965,58388
63,37119,43742,46532,49451,57739
64,37165,43512,46236,49131,57198
65,37343,43423,46105,48988,56846
66,37682,43499,46101,49019,56923
67,38042,43713,46234,49168,57171
68,38540,44065,46497,49471,57621
69,39164,44501,46882,49850,58355
70,39916,45063,47442,50402,59345
71,40742,45753,48125,51144,60478
72,41684,46544,48912,52041,61703
73,42732,47446,49782,53048,63060
74,43856,48397,50747,54183,64384
75,45003,49409,51801,55403,65935
76,46106,50455,52879,56655,67647
77,47167,51523,53991,57904,69368
78,48230,52569,55079,59137,70995
79,49202,53599,56158,60266,72518
80,50073,54610,57182,61366,73973
81,50836,55583,58158,62378,75431
82,51599,56499,59068,63288,76938
83,52274,57347,59915,64091,78316
84,52809,58121,60675,64780,79609
85,53222,58815,61330,65385,80826
86,53585,59407,61892,65882,81759
87,53917,59905,62345,66245,82512
88,54185,60296,62709,66504,83073
89,54318,60632,62987,66711,83449
90,54308,60875,63169,66822,83661
91,54222,60966,63272,66776,83703
92,54029,60916,63266,66637,83666
93,53716,60753,63123,66418,83536
94,53319,60460,62825,66025,83176
95,52853,60028,62361,65467,82654
96,52289,59455,61758,64755,81961
97,51607,58734,61022,63889,81085
98,50816,57891,60166,62889,80132
99,49925,56919,59190,61814,78939
100,48941,55844,58135,60667,77522
