TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,3196689,5045514,8063526,13291965,67588828
2,2958652,4609305,7240929,11780314,55872612
3,2738378,4229558,6502301,10518459,46240031
4,2567162,3860027,5854422,9310332,38273729
5,2431375,3510466,5320203,8189423,31684498
6,2235592,3199573,4835154,7218361,26233497
7,2055593,2931662,4394208,6387654,21723443
8,1890049,2708679,3926906,5537899,18005095
9,1737401,2486613,3487585,4877579,14697329
10,1597092,2278492,3090762,4298748,12004957
11,1520191,2136942,2982787,4188033,11355190
12,1400307,1948862,2685288,3718119,9478839
13,1288938,1776430,2414417,3297427,7928732
14,1185433,1617751,2169891,2924022,6647872
15,1088598,1471490,1948545,2596549,5592734
16,996383,1338086,1748195,2306014,4726476
17,909283,1216126,1567668,2050148,4008450
18,827941,1104589,1405315,1822353,3413532
19,752735,1001293,1260460,1623100,2920681
20,680847,906978,1131594,1447157,2512156
21,613001,820829,1016804,1290904,2171157
22,549212,742524,913718,1152044,1884514
23,489617,670021,820354,1028837,1643349
24,434342,603874,736391,918746,1437822
25,383480,543139,659942,819447,1262186
26,336978,486571,590731,729597,1112258
27,295495,434395,528112,648561,983983
28,258964,386474,471134,575820,870812
29,226787,343192,419333,509892,768360
30,198487,304081,372782,450592,675620
31,173705,268921,330867,397869,592595
32,151973,237649,293041,350682,520127
33,133032,209803,259212,308993,455649
34,116519,185224,229109,271714,399315
35,102315,163884,202439,238664,353816
36,90057,144946,178926,209739,316900
37,79675,128242,158018,184159,288037
38,70570,113401,139586,162023,264759
39,62578,100400,123372,142502,246383
40,55932,88958,109088,125358,231957
41,50380,78978,96584,110566,221243
42,45640,70236,85624,97816,214006
43,41496,62707,76087,86840,208598
44,37946,56136,67745,77412,203981
45,34894,50448,60589,69350,199130
46,32240,45633,54365,62572,193743
47,29942,41488,49034,56734,187891
48,27887,37924,44461,51789,181766
49,26043,34832,40529,47552,175963
50,24390,32155,37141,43862,169844
51,22938,29849,34232,40683,163700
52,21665,27831,31709,37901,157737
53,20543,26085,29545,35455,152939
54,19551,24554,27684,33289,148332
55,18575,23175,26082,31331,141014
56,17706,21971,24657,29612,131161
57,16807,20895,23433,28135,119830
58,15951,19939,22374,26802,108761
59,15097,19063,21446,25680,97538
60,14283,18236,20638,24738,86877
61,13442,17470,19928,23934,76778
62,12671,16778,19296,23272,67436
63,11945,16185,18751,22671,59146
64,11283,15694,18305,22153,52069
65,10761,15323,17935,21717,46182
66,10368,15053,17687,21327,41418
67,10085,14888,17529,21052,37595
68,9908,14839,17464,20854,34691
69,9759,14887,17498,20751,32404
70,9692,15016,17647,20775,30819
71,9704,15222,17903,20896,29768
72,9798,15542,18268,21185,29142
73,9969,15945,18759,21649,28737
74,10230,16427,19352,22323,28681
75,10587,16988,20062,23200,29234
76,11006,17643,20923,24256,30421
77,11552,18403,21911,25483,32167
78,12224,19274,23007,26903,34336
79,13062,20278,24226,28506,37021
80,14017,21470,25584,30279,40002
81,15165,22822,27082,32228,43319
82,16465,24355,28771,34384,46915
83,18005,26000,30629,36806,50933
84,19741,27763,32629,39374,55384
85,21532,29589,34808,42141,60390
86,23387,31466,37074,45120,65942
87,25237,33394,39463,48297,72055
88,27057,35335,41959,51657,78602
89,29042,37251,44525,55281,85810
90,31035,39191,47143,59058,93518
91,32968,41127,49799,63095,101764
92,34799,42990,52520,67365,110495
93,36509,44857,55254,71740,119829
94,38047,46716,58045,76290,129589
95,39524,48590,60858,80998,139713
96,40947,50463,63663,85793,150366
97,42336,52358,66505,90686,161271
98,43719,54321,69488,95811,172050
99,45095,56367,72711,101121,183131
100,46468,58431,76102,106695,195202
