TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,3156345,6102014,8325120,16324057,36961921
2,2928425,5568335,7447388,14385099,31690883
3,2717842,5091504,6636668,12658761,27171845
4,2522461,4642857,5914656,11081441,23263606
5,2339050,4229505,5306969,9835866,19814037
6,2155704,3852437,4767667,8642846,16876063
7,2015181,3501488,4283174,7556626,14373800
8,1872103,3170489,3847916,6736871,12242620
9,1737730,2856499,3456891,5989324,10522821
10,1612371,2570334,3119740,5202585,9146791
11,1549018,2457985,2990415,4870473,8753574
12,1433564,2230487,2691590,4293649,7574774
13,1326199,2022528,2422469,3787005,6565495
14,1225651,1832403,2181241,3341484,5704392
15,1130970,1659210,1966643,2950311,4968595
16,1041782,1501676,1773512,2605921,4339638
17,958043,1358266,1599297,2303004,3800750
18,877866,1228108,1442274,2038449,3337959
19,801741,1110181,1300432,1803390,2939603
20,729838,1002975,1173059,1595892,2594747
21,662198,905991,1058317,1415629,2294331
22,599710,817925,954074,1257249,2032304
23,542139,738068,859848,1117954,1803542
24,487807,665730,774579,994970,1603355
25,436382,599765,697837,887054,1427587
26,389614,537951,627808,790371,1271631
27,346573,481175,563546,703150,1132584
28,307215,429445,505228,625110,1007818
29,271880,382428,451958,555372,893430
30,240370,339753,402658,492348,789192
31,212139,301256,357688,435771,695805
32,187116,266795,317053,384905,612002
33,164904,235963,280424,339141,537736
34,145171,208521,247626,298274,471204
35,127878,184152,218304,262010,411782
36,112832,162244,192250,229507,358168
37,99663,142861,169222,201118,311103
38,88263,125875,148694,176200,270240
39,78506,111013,130809,154568,234192
40,69909,98019,115110,135529,202969
41,62507,86559,101351,118950,175949
42,56012,76559,89369,104618,152695
43,50266,67786,78904,92027,133036
44,45289,60176,69856,81178,116209
45,41052,53617,61984,71747,101989
46,37329,48057,55205,63662,90136
47,34022,43294,49371,56839,80322
48,31208,39179,44336,51014,72229
49,28748,35617,40036,46062,65627
50,26569,32583,36388,41875,60330
51,24663,29985,33294,38315,55771
52,23026,27749,30636,35239,51489
53,21602,25828,28394,32630,47878
54,20383,24167,26476,30427,44823
55,19263,22722,24834,28526,41986
56,18229,21502,23425,26925,39510
57,17165,20464,22217,25531,37313
58,16186,19565,21209,24307,35283
59,15251,18767,20327,23261,33561
60,14506,18039,19571,22413,32125
61,13816,17406,18933,21688,30936
62,13210,16818,18395,21097,29986
63,12687,16320,17971,20654,29185
64,12254,15927,17639,20305,28565
65,11855,15624,17397,20052,28059
66,11537,15395,17264,19916,27655
67,11303,15260,17225,19866,27341
68,11100,15238,17274,19915,27124
69,11013,15321,17416,20057,27031
70,11026,15471,17662,20319,26992
71,11151,15703,17999,20711,27135
72,11324,16026,18447,21232,27681
73,11564,16444,18987,21867,28373
74,11869,16937,19649,22625,29260
75,12297,17518,20387,23546,30547
76,12836,18192,21237,24642,32226
77,13578,18958,22190,25863,34250
78,14446,19827,23262,27290,36722
79,15462,20808,24492,28878,39595
80,16528,21954,25849,30631,42726
81,17731,23234,27342,32536,46162
82,19046,24708,28985,34595,49945
83,20485,26332,30750,36821,54028
84,22040,28043,32634,39213,58432
85,23792,29826,34679,41812,63188
86,25639,31728,36797,44551,68343
87,27628,33699,38995,47487,73898
88,29778,35677,41296,50618,79794
89,31851,37665,43688,53883,86017
90,33857,39693,46155,57221,92531
91,35761,41759,48688,60548,99347
92,37638,43834,51239,63973,106457
93,39449,45886,53841,67489,113854
94,41194,47946,56411,71067,121530
95,42810,50009,59053,74697,129471
96,44339,52070,61719,78416,137632
97,45828,54106,64467,82320,146098
98,47284,56075,67264,86273,154789
99,48716,58051,70011,90350,163836
100,50136,60022,72825,94526,173578
