TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,407461,596767,691418,838756,1155180
2,403957,585750,674827,806409,1121560
3,399813,572968,656677,776659,1090857
4,395549,562886,635065,770612,1061011
5,391215,545567,615854,758387,1031993
6,386956,531206,601225,736050,1003781
7,382773,521737,589174,711042,982301
8,379152,508132,573608,698737,958845
9,379906,495755,556342,689371,923754
10,375418,484612,541905,668104,868518
11,339697,444140,494687,578960,744596
12,328881,426039,473028,551217,702330
13,317675,407942,451930,523922,661515
14,306537,390412,431043,497404,622169
15,295488,373183,411104,471672,584664
16,284743,356598,391917,446910,549286
17,274214,340618,373552,423112,515849
18,263921,325232,355851,400716,484580
19,253874,310627,338947,379438,455481
20,244169,296672,323220,359140,428081
21,234969,283453,308345,340079,403241
22,226373,271105,294690,322673,380642
23,218415,260080,282027,307440,361067
24,211353,249939,270632,293938,344194
25,204914,240802,260555,282212,329729
26,199032,232753,251774,272372,317499
27,193761,225831,244288,263862,306746
28,189038,219783,237956,256632,297562
29,185219,214692,232582,250483,290035
30,182203,210567,228181,245632,283821
31,179918,207242,224712,241891,278534
32,178435,204695,222047,238815,274622
33,177466,202958,219968,236771,271804
34,176689,201700,218729,235613,270048
35,176025,200890,218068,234921,269351
36,175331,200495,217919,234796,269285
37,174707,200503,218171,235342,270104
38,174202,200743,218864,236436,271468
39,173783,201387,219912,237812,273182
40,173283,202403,221072,239660,275640
41,172693,203649,222525,241958,278573
42,172084,205032,223947,244472,281731
43,171563,206417,225625,247276,285504
44,170995,207839,227313,250264,289926
45,170529,209459,229164,253331,294578
46,170029,210982,231161,256397,299243
47,169505,212464,233010,259554,304019
48,168933,213973,234848,262822,308919
49,168284,215418,236709,266009,313948
50,167592,216920,238565,269145,319204
51,166870,218385,240243,272076,324723
52,166103,219888,241907,275080,330458
53,165388,221266,243594,278166,336232
54,164815,222619,245229,281343,341948
55,164456,224044,246754,284674,347432
56,164326,225410,248301,288115,352841
57,164390,226851,249950,291575,357915
58,164546,228372,251660,295149,362769
59,164807,229782,253465,298870,367624
60,165175,231174,255274,302451,372465
61,165655,232524,256998,306100,377244
62,166252,233950,258784,309713,381952
63,166893,235385,260554,313147,386443
64,167556,236847,262403,316470,390691
65,168247,238281,264331,319673,394989
66,168982,239745,266106,322788,399326
67,169760,241255,267895,325749,403746
68,170582,242815,269657,328520,408239
69,171436,244437,271506,331324,412781
70,172323,246056,273510,334153,417237
71,173191,247608,275593,337082,421637
72,174039,249080,277837,339950,425823
73,174869,250481,280043,342825,429958
74,175679,251803,282279,345667,434149
75,176488,253082,284570,348508,438369
76,177342,254452,286864,351247,442843
77,178192,255696,289084,353924,447411
78,179027,256896,291207,356226,452019
79,179830,258047,293264,358375,456672
80,180586,259146,295341,360485,461371
81,181386,260215,297465,362472,466117
82,182207,261183,299629,364417,470910
83,183038,262214,301737,366461,475692
84,183870,263306,303767,368533,480460
85,184704,264444,305663,370616,485213
86,185539,265539,307576,372718,489949
87,186374,266521,309350,374841,494664
88,187211,267465,311045,377054,499349
89,188048,268390,312545,379306,504002
90,188880,269304,313938,381373,508621
91,189699,270208,315241,383355,513124
92,190503,271096,316296,385262,517590
93,191295,271949,317299,387003,522001
94,192137,272763,318227,388559,526337
95,192963,273492,319059,389883,530531
96,193727,274214,319853,390974,534553
97,194454,274994,320568,392000,538556
98,195165,275849,321277,393184,542576
99,195879,276747,322003,394557,546561
100,196610,277617,322759,396098,550507
