TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,86180,104961,127174,152026,279765
2,80116,96679,116194,137919,247359
3,74479,89214,106808,125832,218708
4,69239,82160,97990,115359,193375
5,64366,76197,89902,105911,170976
6,59838,70275,82484,97238,151171
7,55628,64879,75533,89274,133661
8,51714,59898,69043,81921,118179
9,48075,55316,63090,74747,104490
10,44691,51137,58052,68529,92388
11,42912,49133,55623,64185,90473
12,39804,45339,50974,58531,80911
13,36851,41840,46726,53398,72487
14,34045,38610,42831,48729,65057
15,31385,35615,39261,44466,58510
16,28887,32827,35982,40577,52733
17,26552,30248,32980,37028,47625
18,24373,27858,30236,33793,43089
19,22343,25633,27725,30845,39054
20,20449,23567,25431,28175,35457
21,18655,21649,23317,25724,32190
22,16991,19876,21365,23491,29228
23,15515,18264,19604,21475,26590
24,14204,16790,18016,19653,24234
25,13033,15467,16590,18034,22150
26,11983,14278,15293,16578,20298
27,11045,13212,14126,15284,18666
28,10190,12250,13095,14136,17225
29,9422,11391,12189,13129,15947
30,8753,10626,11393,12244,14800
31,8171,9954,10696,11470,13783
32,7667,9367,10080,10787,12886
33,7229,8853,9536,10190,12102
34,6855,8397,9062,9669,11416
35,6540,8005,8651,9219,10809
36,6272,7671,8296,8833,10278
37,6051,7384,7991,8504,9816
38,5865,7141,7737,8223,9421
39,5713,6945,7527,7985,9092
40,5603,6791,7358,7790,8823
41,5538,6675,7231,7641,8622
42,5506,6598,7146,7530,8480
43,5478,6546,7087,7453,8380
44,5470,6524,7051,7405,8320
45,5476,6518,7036,7378,8290
46,5492,6528,7051,7377,8296
47,5515,6551,7080,7398,8327
48,5562,6594,7121,7437,8386
49,5617,6645,7169,7486,8462
50,5664,6708,7222,7540,8555
51,5712,6778,7277,7599,8659
52,5761,6849,7339,7664,8776
53,5818,6920,7406,7734,8910
54,5881,7001,7473,7807,9048
55,5947,7082,7545,7882,9196
56,6020,7162,7617,7956,9350
57,6093,7245,7692,8031,9514
58,6179,7330,7763,8113,9676
59,6265,7415,7832,8196,9828
60,6339,7500,7898,8270,9973
61,6407,7584,7961,8341,10120
62,6471,7663,8021,8410,10270
63,6542,7740,8076,8473,10417
64,6603,7811,8128,8536,10565
65,6661,7878,8175,8599,10711
66,6723,7941,8215,8661,10846
67,6787,7999,8254,8722,10971
68,6847,8050,8288,8780,11086
69,6914,8098,8320,8834,11196
70,6985,8140,8352,8886,11293
71,7044,8177,8383,8936,11378
72,7092,8210,8409,8983,11451
73,7146,8244,8435,9023,11499
74,7202,8273,8456,9061,11540
75,7248,8299,8473,9097,11572
76,7288,8324,8490,9129,11593
77,7321,8342,8503,9152,11605
78,7348,8358,8512,9170,11614
79,7383,8369,8517,9184,11629
80,7411,8376,8521,9207,11645
81,7428,8379,8523,9233,11654
82,7446,8379,8525,9255,11647
83,7459,8378,8527,9277,11631
84,7466,8374,8530,9298,11604
85,7467,8367,8533,9313,11574
86,7473,8359,8534,9327,11545
87,7482,8347,8538,9337,11516
88,7488,8338,8547,9351,11482
89,7490,8328,8558,9364,11443
90,7491,8318,8567,9379,11406
91,7509,8309,8575,9394,11381
92,7536,8302,8583,9415,11366
93,7558,8296,8592,9442,11360
94,7575,8294,8609,9472,11363
95,7597,8296,8631,9501,11383
96,7626,8305,8655,9535,11407
97,7658,8321,8686,9577,11433
98,7688,8341,8724,9626,11461
99,7711,8370,8771,9682,11489
100,7756,8409,8827,9738,11528
