TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,2181370,3400451,4592539,6408234,13579970
2,2151974,3338133,4432107,6217774,12954464
3,2122998,3241487,4259563,5924114,12481834
4,2118346,3151630,4156326,5624031,12027786
5,2140385,3071715,4046271,5383263,11591554
6,2162040,3024405,3918602,5203926,11172398
7,2142249,2964658,3778524,4968561,10769611
8,2112047,2872437,3656852,4724324,10382518
9,2082286,2808480,3563712,4570878,9904461
10,2049713,2751343,3473069,4412018,9451295
11,1977209,2675849,3371496,4407504,8859410
12,1947644,2602305,3252851,4229724,8399817
13,1917466,2530130,3135033,4051478,7946255
14,1884961,2458697,3019396,3879492,7495566
15,1849862,2385858,2902877,3714378,7043599
16,1809339,2309451,2787109,3553342,6599294
17,1764774,2229011,2673732,3391298,6174377
18,1717722,2148263,2560352,3230550,5762304
19,1667871,2066828,2447620,3068387,5364193
20,1613272,1984949,2335067,2908626,4979637
21,1556278,1901193,2222719,2753485,4622280
22,1497934,1814736,2109733,2604573,4282886
23,1437154,1728427,1998676,2458405,3960991
24,1374664,1643730,1889746,2315670,3656445
25,1310501,1560249,1783011,2176942,3369410
26,1245807,1479200,1679127,2042446,3105068
27,1179933,1398379,1578757,1910649,2860989
28,1114580,1319827,1484432,1786328,2633490
29,1050640,1242680,1395180,1667471,2423969
30,987945,1167468,1309926,1557001,2233508
31,926461,1094627,1229181,1452067,2057577
32,866960,1025243,1152171,1356836,1897724
33,809662,958692,1079380,1269415,1754386
34,754731,896275,1011195,1188610,1625352
35,703447,838090,948089,1113308,1511011
36,655776,785124,889078,1043606,1408377
37,610561,736444,833390,979299,1314491
38,568331,689633,782432,921239,1229313
39,528527,647139,736109,868741,1151783
40,492466,607255,693756,820604,1082523
41,458528,570829,654350,776174,1018604
42,426778,537538,619024,735160,961006
43,398204,506865,586898,697820,909241
44,371649,479053,558024,663358,862293
45,347306,453823,531778,631573,819989
46,324640,430574,508217,602526,781918
47,303965,409697,486594,575925,747658
48,284602,390824,466711,551650,716634
49,266800,373831,448471,530462,688404
50,250109,358882,431918,510783,662184
51,235035,345331,416734,492852,638212
52,221302,333043,402883,476008,615195
53,208786,321893,390478,460217,593638
54,197517,311430,379311,445645,573809
55,187071,301951,368870,432365,555681
56,177494,292919,359303,420357,539106
57,168804,284640,350597,409751,523479
58,160750,277544,342598,399966,509085
59,153649,270687,334826,391279,495933
60,147264,264611,327520,383295,483785
61,141764,259025,321185,375832,472232
62,137023,253956,315196,368705,461335
63,132728,249329,309562,362050,450975
64,129091,244981,304161,355908,441428
65,125945,240973,299336,350268,432468
66,123307,237230,294800,345045,424086
67,121081,233615,290459,340621,416370
68,119350,230365,286332,336463,409508
69,117962,227305,282525,332274,403712
70,117116,224322,279048,328404,398523
71,116539,221379,275800,324732,393986
72,116115,218596,272725,321171,390316
73,115766,215896,269683,317795,387159
74,115498,213326,266717,314286,384388
75,115247,210779,264097,310763,381770
76,115060,208439,261623,307122,379173
77,114979,206168,259340,303409,376872
78,115034,203944,257127,299613,374782
79,115101,201833,255225,295941,372905
80,115108,199809,253448,292365,371188
81,115251,197929,251591,289013,369622
82,115501,196153,249714,285913,368194
83,115827,194530,247871,282934,366954
84,116246,193066,246043,280200,365857
85,116793,191688,244060,277509,364880
86,117382,190374,242020,274845,363981
87,117954,189251,240101,272289,363108
88,118545,188133,238156,269874,362277
89,119103,187063,236255,267553,361478
90,119626,186173,234318,265456,360685
91,120101,185372,232426,263554,359897
92,120523,184564,230641,261758,359132
93,120905,183885,228942,260154,358364
94,121265,183351,227195,258859,357639
95,121603,182902,225588,257752,356940
96,121880,182537,224031,256954,356405
97,122189,182252,222462,256351,356001
98,122577,182104,220982,255985,355800
99,122929,182055,219398,255913,355862
100,123261,182047,217817,256225,356108
