TIME,Q0.025,Q0.25,Q0.5,Q0.75,Q0.975
1,1847858,2756520,3548226,5528674,19254736
2,1827064,2725199,3458123,5259126,17600328
3,1801489,2654425,3370374,5109201,16109430
4,1775585,2590566,3286624,4963549,14764775
5,1750059,2532499,3222596,4820232,13550963
6,1724903,2475760,3153940,4663252,12454272
7,1700110,2427419,3090394,4518701,11462459
8,1675054,2364328,2997218,4385523,10567881
9,1644689,2329886,2919738,4248301,9790912
10,1614885,2292334,2843428,4079526,9083931
11,1542070,2133190,2606382,3646984,8593437
12,1497451,2054510,2494544,3442283,7803868
13,1450370,1972372,2384322,3246224,7061579
14,1400211,1891132,2273395,3054876,6394833
15,1350468,1809994,2161943,2868238,5780363
16,1300919,1729642,2053939,2688489,5219012
17,1250214,1648057,1947356,2517353,4710669
18,1199113,1566462,1844207,2356537,4248511
19,1145946,1488595,1746745,2207681,3840005
20,1092287,1412989,1654334,2067167,3478993
21,1040824,1340768,1567370,1938405,3159945
22,992069,1271120,1486254,1819323,2874695
23,944158,1205298,1412745,1710109,2622864
24,898401,1143971,1345673,1611139,2403008
25,856708,1087665,1284754,1522159,2209621
26,819320,1035960,1230338,1444764,2040581
27,786884,990260,1180998,1377261,1893214
28,757319,949526,1136085,1317815,1763414
29,729879,913655,1096138,1265940,1650225
30,705630,883069,1061172,1222247,1557411
31,683932,857092,1031584,1185336,1482627
32,666295,834595,1006724,1154725,1425221
33,651820,815934,985234,1128616,1382837
34,641330,800665,968347,1106920,1348147
35,633128,788843,955390,1089545,1323240
36,627037,779219,944262,1076431,1305956
37,623542,772986,936308,1067363,1296598
38,622288,769503,930664,1061060,1295609
39,624090,768140,926140,1056412,1298569
40,628092,768353,923776,1056736,1304778
41,633146,769621,923035,1058175,1314210
42,638734,772889,923790,1061697,1327589
43,645819,777201,925104,1066952,1343295
44,653559,783125,927432,1073410,1360668
45,660380,789869,930109,1080440,1380900
46,666018,797105,933572,1087469,1402057
47,670579,803498,937999,1094470,1424869
48,675014,809612,943349,1102707,1450434
49,679215,815815,949334,1112441,1478270
50,682819,821203,956797,1122891,1507199
51,685826,825961,964942,1134659,1536212
52,688202,830399,972793,1146043,1563590
53,689549,834503,980565,1158240,1590804
54,689299,837120,988244,1171438,1617944
55,687495,838299,996138,1185642,1644903
56,684409,839104,1004398,1199056,1672070
57,680259,839613,1012141,1210875,1697164
58,675134,839332,1019236,1221845,1719852
59,669278,837378,1025341,1232129,1740225
60,663084,834509,1029722,1239475,1758430
61,656284,831099,1032698,1245802,1773695
62,649007,826634,1034284,1251102,1786352
63,641553,821349,1034403,1254822,1797172
64,633819,814908,1033198,1256959,1805579
65,626145,807596,1030892,1258403,1810155
66,618401,800129,1026777,1259734,1812292
67,610313,792948,1021312,1260660,1811951
68,602207,784649,1014449,1259543,1809107
69,594029,775110,1005639,1255894,1803904
70,585737,764715,995422,1250710,1794430
71,577542,753360,983789,1243464,1782292
72,569192,742160,971145,1234459,1767395
73,560629,730238,957473,1223422,1748756
74,551889,717935,942652,1209927,1726567
75,543023,705355,926724,1193735,1702044
76,534042,692478,909902,1176154,1674723
77,524956,679131,892779,1157634,1644894
78,515772,665875,875098,1137582,1612508
79,506393,652734,857765,1115822,1578247
80,496836,639654,840082,1092221,1542230
81,487117,626230,821607,1067494,1504949
82,477354,612698,803007,1042005,1466475
83,467460,599123,784300,1015911,1427230
84,457659,585530,765224,989348,1386427
85,448055,571880,746013,962147,1344885
86,438490,557973,726644,933872,1303057
87,429030,543979,706808,904927,1260064
88,419432,530039,686807,875779,1215982
89,409645,516134,666971,846452,1170941
90,399641,502497,647043,816831,1125552
91,389665,489073,627085,786671,1079929
92,379846,475352,607286,756887,1034682
93,370242,461936,587377,727369,990293
94,360745,448646,567414,698220,946434
95,351360,435652,547574,669713,903064
96,342089,422741,527784,641800,860642
97,332861,409840,507859,614184,819119
98,323691,396832,488170,586970,778328
99,314471,383847,468748,560316,738174
100,305057,370899,449656,534407,699010
